Individual_ID,Sample Date,Initial Weight,Final Weight ,Emergence Date,p-value,site,site.level
1AWO624,J,0.2,3.22,2/25/15,0.3204982,WO,7
2AWO624,J,0.2,3.55,3/15/15,0.3570146,WO,7
3AWO624,J,0.2,1.72,4/9/15,0.3265226,WO,7
4AWO624,J,0.2,5.18,2/23/15,0.3668321,WO,7
5AWO624,J,0.2,2.11,4/4/15,0.3387535,WO,7
7AWO624,J,0.2,6.44,3/14/15,0.4301997,WO,7
8AWO624,J,0.2,1.77,4/6/15,0.3233511,WO,7
15AWO624,J,0.2,4.1,3/9/15,0.3622184,WO,7
16AWO624,J,0.2,2.58,3/19/15,0.3296726,WO,7
17AWO624,J,0.2,5.1,2/22/15,0.3636577,WO,7
1ACH619,J,0.2,2.18,3/20/15,0.3237601,CH,5
2ACH619,J,0.2,1.86,3/30/15,0.3253028,CH,5
3ACH619,J,0.2,1.22,4/18/15,0.3170223,CH,5
4ACH619,J,0.2,1.8,4/8/15,0.3406716,CH,5
5ACH619,J,0.2,2.32,4/6/15,0.3681764,CH,5
6ACH619,J,0.2,1.99,4/13/15,0.3664436,CH,5
9ACH619,J,0.2,1.9,4/3/15,0.3366468,CH,5
13ACH619,J,0.2,1.78,4/11/15,0.3466985,CH,5
17ACH619,J,0.2,1.38,4/11/15,0.3159617,CH,5
18ACH619,J,0.2,1.95,4/5/15,0.3441209,CH,5
3ACO623,J,0.2,2.39,4/1/15,0.2940827,CO,1
4ACO623,J,0.2,0.98,4/29/15,0.2559803,CO,1
5ACO623,J,0.2,1.19,4/6/15,0.236117,CO,1
6ACO623,J,0.2,3.03,3/28/15,0.3107663,CO,1
8ACO623,J,0.2,0.95,4/22/15,0.2391907,CO,1
10ACO623,J,0.2,1.78,4/5/15,0.2713327,CO,1
11ACO623,J,0.2,2.97,3/30/15,0.3128222,CO,1
12ACO623,J,0.2,2.48,4/2/15,0.2997284,CO,1
13ACO623,J,0.2,3.21,3/23/15,0.3075326,CO,1
16ACO623,J,0.2,4.06,3/23/15,0.3331527,CO,1
3AEF630,J,0.2,4.17,3/21/15,0.3558702,EF,2
5AEF630,J,0.2,6.64,3/15/15,0.4015447,EF,2
6AEF630,J,0.2,4.54,3/14/15,0.3527293,EF,2
7AEF630,J,0.2,5.59,3/1/15,0.3576058,EF,2
8AEF630,J,0.2,5.39,3/16/15,0.3768901,EF,2
9AEF630,J,0.2,2.44,4/15/15,0.3432827,EF,2
10AEF630,J,0.2,4.11,3/25/15,0.3618609,EF,2
12AEF630,J,0.2,2.63,4/7/15,0.3357739,EF,2
19AEF630,J,0.2,5.19,3/7/15,0.3561489,EF,2
1AHA622,J,0.2,0.72,4/19/15,0.2143314,HA,4
2AHA622,J,0.2,0.69,4/26/15,0.220616,HA,4
3AHA622,J,0.2,0.92,4/23/15,0.2428958,HA,4
4AHA622,J,0.2,3.15,3/30/15,0.3222766,HA,4
5AHA622,J,0.2,1.23,4/2/15,0.238176,HA,4
6AHA622,J,0.2,1.46,4/12/15,0.268151,HA,4
7AHA622,J,0.2,3.39,3/16/15,0.3042981,HA,4
8AHA622,J,0.2,2.42,4/7/15,0.3103834,HA,4
9AHA622,J,0.2,2.22,3/18/15,0.2679846,HA,4
10AHA622,J,0.2,0.86,4/6/15,0.2142472,HA,4
1AIS615,J,0.2,2.51,3/21/15,0.3002238,IS,3
4AIS615,J,0.2,3.41,3/5/15,0.3063035,IS,3
5AIS615,J,0.2,2,3/24/15,0.2826133,IS,3
6AIS615,J,0.2,2.1,3/25/15,0.2890017,IS,3
7AIS615,J,0.2,1.69,4/8/15,0.2933599,IS,3
8AIS615,J,0.2,4.07,2/26/15,0.3160441,IS,3
9AIS615,J,0.2,3.55,3/14/15,0.3237476,IS,3
14AIS615,J,0.2,1.71,4/5/15,0.2890284,IS,3
15AIS615,J,0.2,2.97,3/15/15,0.3068464,IS,3
16AIS615,J,0.2,2.77,3/4/15,0.2857282,IS,3
1AJE616,J,0.2,2.93,3/18/15,0.3847227,JE,8
3AJE616,J,0.2,1.07,4/21/15,0.3423657,JE,8
4AJE616,J,0.2,2.06,3/17/15,0.3411717,JE,8
5AJE616,J,0.2,2.72,3/27/15,0.3970347,JE,8
6AJE616,J,0.2,1.8,4/6/15,0.3691757,JE,8
7AJE616,J,0.2,1.76,3/27/15,0.3426157,JE,8
8AJE616,J,0.2,1.65,4/4/15,0.3531546,JE,8
9AJE616,J,0.2,2.4,3/14/15,0.3525885,JE,8
10AJE616,J,0.2,2.58,3/31/15,0.4013691,JE,8
11AJE616,J,0.2,3.27,3/24/15,0.4143073,JE,8
1ALO621,J,0.2,7.46,3/7/15,0.4481398,LO,9
2ALO621,J,0.2,6.4,3/3/15,0.4172088,LO,9
3ALO621,J,0.2,10,2/13/15,0.4439154,LO,9
4ALO621,J,0.2,6.11,3/5/15,0.4151859,LO,9
5ALO621,J,0.2,8.65,2/22/15,0.4406866,LO,9
6ALO621,J,0.2,12.41,2/20/15,0.5033243,LO,9
7ALO621,J,0.2,4.39,3/11/15,0.3852309,LO,9
8ALO621,J,0.2,7.9,3/13/15,0.4728727,LO,9
9ALO621,J,0.2,9.27,2/24/15,0.4554214,LO,9
10ALO621,J,0.2,8.3,2/25/15,0.4410094,LO,9
11AMA715,J,0.2,7.34,3/13/15,0.2148235,MA,6
12AMA715,J,0.2,6.83,3/23/15,0.2288638,MA,6
13AMA715,J,0.2,4.6,3/8/15,0.2227562,MA,6
1ASW709,J,0.2,7.34,3/13/15,0.3752639,SW,10
2ASW709,J,0.2,6.83,3/23/15,0.3774398,SW,10
3ASW709,J,0.2,4.6,3/8/15,0.318599,SW,10
4ASW709,J,0.2,8.3,3/16/15,0.3963711,SW,10
5ASW709,J,0.2,4.6,3/14/15,0.3266447,SW,10
7ASW709,J,0.2,6.46,3/28/15,0.3892993,SW,10
8ASW709,J,0.2,4.99,4/3/15,0.3710311,SW,10
15ASW709,J,0.2,6,3/20/15,0.3644695,SW,10
17ASW709,J,0.2,5.18,3/28/15,0.3627241,SW,10
20ASW709,J,0.2,5.98,3/28/15,0.3797059,SW,10