Sample ID,Bottle Weight,HNO3,HNO3 + H2O
1CO810D,8.44,15.48,18.51
2CO810D,8.5,15.5,18.59
1IS811D,8.45,15.42,18.52
2IS811D,8.47,15.5,18.59
1HA812D,8.45,15.54,18.6
2HA812D,8.51,15.55,18.61
1MA813D,8.46,15.47,18.59
2MA813D,8.47,15.49,18.56
1JE814D,8.44,15.5,18.6
2JE814D,8.44,15.45,18.54
1SW815D,8.5,15.6,18.69
2SW815D,8.48,15.55,18.6
1CO910D,8.58,15.57,18.69
2CO910D,8.47,15.46,18.59
1IS911D,8.46,15.48,18.56
2IS911D,8.5,15.49,18.57
1HA912D,8.44,15.5,18.58
2HA912D,8.41,15.36,18.49
1MA913D,8.46,15.56,18.65
2MA913D,8.46,15.43,18.53
1JE914D,8.47,15.52,18.27
2JE914D,8.5,15.56,18.46
1SW915D,8.48,15.44,18.17
2SW915D,8.47,15.52,18.23
3CO619D,8.51,15.56,18.78
4CO619D,8.45,15.42,18.55
5CO619D,8.51,15.56,18.62
1CO619D,8.47,15.5,18.42
2CO619D,8.52,15.58,18.56
6CO619D,8.52,15.49,18.47
Dilution Blank,8.5,,18.5